Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
AUTOMOVIL,Acura,Integra,JAPÓN,SERIE:  A-Spec||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 1500||PASAJEROS: 4||PUERTAS: 4||TRACCION: FWD||,2026,"$35,950.00"
AUTOMOVIL,Acura,Integra,JAPÓN,SERIE:  Base||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 1500||PASAJEROS: 4||PUERTAS: 4||TRACCION: FWD||,2026,"$33,400.00"
AUTOMOVIL,Acura,Integra,JAPÓN,SERIE:  Type S||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 1500||PASAJEROS: 4||PUERTAS: 4||TRACCION: FWD||,2026,"$53,400.00"
AUTOMOVIL,Acura,Integra,ESTADOS UNIDOS,SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 1500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  FWD || ,2026,"$35,950.00"
JEEPETA,Acura,MDX,ESTADOS UNIDOS,SERIE:  TYPE-S ADVANCE||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3000||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2026,"$75,850.00"
JEEPETA,Acura,MDX,CANADÁ,SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 6 || PUERTAS: 4 || TRACCION: AWD || ,2026,"$66,900.00"
JEEPETA,Acura,MDX,ESTADOS UNIDOS,SERIE: ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD || ,2026,"$66,900.00"
JEEPETA,Acura,MDX,ESTADOS UNIDOS,SERIE: A-SPEC || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD || ,2026,"$62,400.00"
JEEPETA,Acura,MDX,ESTADOS UNIDOS,SERIE: A-SPEC ADVANCE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD || ,2026,"$68,900.00"
JEEPETA,Acura,MDX,CANADÁ,SERIE: BASE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 7 || PUERTAS: 4 || TRACCION: AWD || ,2026,"$54,000.00"
